MunAno,Municipio,Ano,AreaGoverno,ValorDespesa,ValorReceita,PGasto,IndiceColetaEsgoto,IndiceTratamentoEsgoto,IndiceEsgotoTratado,IndiceAtendimentoAgua,TaxaMortalidadeInfanciaMilNascidosVivos,ObitosPopulacao60AnosMais,TaxaMortalidadeMilHabitantes,TaxaMortalidadeInfantilMilNascidosVivos,TaxaMortalidadeMulheresIdadeFértilCemMilMulheres,NascidosMortos,TaxaNatalidadeMilHabitantes,TaxaFecundidadeMilMulheres,LeitosInternaçãoMilHabitantes,LeitosSUSMilHabitantes,IndiceEnvelhecimento,IndiceQualidadeAterroResíduos,IndiceAtendimentoAgua,IndiceColetaEsgoto,IndiceTratamentoEsgoto
Aguaí2016,Aguaí,2016,SANEAMENTO,12975609.43,75706522.86,0.171393546286561,100.0,86.21,86.21,90.21,22.56,165,6.95,22.56,76.45,,11.65,43.58,0.29,,64.92,7.3,100.0,100.0,86.2
Aguaí2016,Aguaí,2016,SAÚDE,60251546.76,75706522.86,0.7958567436972366,100.0,86.21,86.21,90.21,22.56,165,6.95,22.56,76.45,,11.65,43.58,0.29,,64.92,7.3,100.0,100.0,86.2
Águas de Lindóia2014,Águas de Lindóia,2014,SANEAMENTO,21800134.34,67926427.79,0.3209374473128023,69.56,21.85,15.2,98.8,8.97,123,8.57,8.97,84.02,1.0,12.58,46.84,2.37,1.69,84.17,9.8,99.7,69.6,21.9
Águas de Lindóia2014,Águas de Lindóia,2014,SAÚDE,50082975.3,67926427.79,0.7373120732159731,69.56,21.85,15.2,98.8,8.97,123,8.57,8.97,84.02,1.0,12.58,46.84,2.37,1.69,84.17,9.8,99.7,69.6,21.9
Águas de Lindóia2015,Águas de Lindóia,2015,SANEAMENTO,21853124.7,69630631.19,0.31384355313927464,69.41,29.99,20.81,99.1,4.78,110,8.63,,125.73,4.0,11.71,43.8,2.35,1.68,85.99,9.8,100.0,69.4,30.0
Águas de Lindóia2015,Águas de Lindóia,2015,SAÚDE,44902734.83,69630631.19,0.6448704264574971,69.41,29.99,20.81,99.1,4.78,110,8.63,,125.73,4.0,11.71,43.8,2.35,1.68,85.99,9.8,100.0,69.4,30.0
Águas de Lindóia2016,Águas de Lindóia,2016,SANEAMENTO,24407610.66,74839830.49,0.3261312926578757,89.51,23.37,20.92,99.1,9.35,123,8.47,9.35,126.5,1.0,11.92,45.12,2.34,1.67,87.51,9.5,100.0,89.5,23.4
Águas de Lindóia2016,Águas de Lindóia,2016,SAÚDE,44945222.17,74839830.49,0.6005521642116163,89.51,23.37,20.92,99.1,9.35,123,8.47,9.35,126.5,1.0,11.92,45.12,2.34,1.67,87.51,9.5,100.0,89.5,23.4
Águas de Lindóia2017,Águas de Lindóia,2017,SANEAMENTO,25284624.4,81954302.82,0.3085210114657895,88.02,52.03,45.8,99.1,17.54,133,9.03,8.77,42.4,1.0,12.63,48.34,2.33,1.66,89.09,8.3,100.0,88.0,52.0
Águas de Lindóia2017,Águas de Lindóia,2017,SAÚDE,51737496.88,81954302.82,0.6312968947296574,88.02,52.03,45.8,99.1,17.54,133,9.03,8.77,42.4,1.0,12.63,48.34,2.33,1.66,89.09,8.3,100.0,88.0,52.0
